company,date,country,count,overall,balance,culture,career,comp,mgmt,knowledge,power,respect,trust,social_support,romance,similarity,identity,fun,conflict,
ericsson,2008-10-00,Canada,1,4.000,3.000,3.000,4.500,3.500,0.000,0.63491,0.30132,0.10188,0.15738,0.20104,0.05519,0.12326,0.26465,0.20168,0.19868,
nokia,2008-10-00,US,1,3.000,4.500,1.000,3.500,2.000,0.000,0.57239,0.51604,0.52269,0.48138,0.47114,0.24468,0.48493,0.47572,0.29617,0.29527,
ericsson,2008-10-00,China,1,4.000,4.500,3.500,3.000,4.000,0.000,0.46228,0.22312,0.18595,0.45758,0.47329,0.00748,0.32256,0.33804,0.15413,0.10649,
nokia,2008-11-00,US,6,3.500,3.500,3.250,3.333,3.250,0.000,0.65453,0.47165,0.40185,0.50606,0.51699,0.09992,0.38711,0.46052,0.26545,0.25921,
apple,2008-11-00,Canada,1,5.000,4.500,3.500,4.000,4.500,0.000,0.68177,0.18008,0.12028,0.06133,0.15065,0.00096,0.33835,0.29177,0.06118,0.04648,
ericsson,2008-11-00,Germany,1,3.000,3.500,2.500,3.000,2.500,0.000,0.63372,0.18627,0.14934,0.12417,0.13465,0.10696,0.37768,0.34279,0.18438,0.09944,
nokia,2008-11-00,Finland,1,5.000,4.500,4.500,3.000,5.000,0.000,0.88781,0.39315,0.13360,0.08676,0.33977,0.10610,0.35057,0.40296,0.08235,0.18976,
ericsson,2008-11-00,India,1,1.000,4.500,1.000,3.000,1.500,0.000,0.52940,0.40337,0.32908,0.19835,0.26532,0.11929,0.25788,0.32135,0.21302,0.15040,
apple,2008-11-00,US,6,4.000,3.750,3.750,3.667,3.250,0.000,0.62365,0.24936,0.19570,0.20191,0.24498,0.01853,0.21514,0.27890,0.20032,0.19096,
ericsson,2008-11-00,Sweden,1,4.000,4.000,4.000,2.500,4.000,0.000,0.68288,0.40290,0.14940,0.15695,0.36756,0.01061,0.37325,0.35590,0.09659,0.03940,
ericsson,2008-11-00,China,1,4.000,4.000,4.000,3.000,4.000,0.000,0.58094,0.52308,0.21286,0.16988,0.38801,0.00046,0.34764,0.31784,0.05534,0.03941,
amazon,2008-11-00,UK,1,2.000,1.000,3.000,2.000,2.500,0.000,0.49871,0.31340,0.25438,0.26393,0.28851,0.00358,0.15069,0.30507,0.17251,0.43214,
nokia,2008-11-00,Singapore,1,4.000,4.000,3.000,4.000,4.000,0.000,0.55818,0.54228,0.43178,0.58315,0.56592,0.10755,0.40971,0.43502,0.33924,0.30865,
ericsson,2008-12-00,US,1,4.000,5.000,4.000,4.000,4.000,0.000,0.69600,0.20448,0.22281,0.33729,0.29210,0.00008,0.19143,0.35346,0.03882,0.03746,
nokia,2008-12-00,Indonesia,1,4.000,4.000,3.000,3.500,4.000,0.000,0.72300,0.72010,0.31339,0.24329,0.32431,0.06632,0.21828,0.37018,0.27304,0.16043,
nokia,2008-12-00,Norway,1,4.000,4.000,3.500,3.500,3.000,0.000,0.66205,0.44612,0.29649,0.57450,0.44722,0.10473,0.40362,0.43534,0.28498,0.15698,
nokia,2008-12-00,US,9,4.000,4.389,3.278,3.889,3.722,0.000,0.77475,0.47698,0.27110,0.38729,0.46123,0.04528,0.25968,0.41945,0.21494,0.19370,
nokia,2008-12-00,Estonia,1,4.000,4.500,2.500,4.000,4.000,0.000,0.48994,0.47413,0.47715,0.49858,0.47160,0.21379,0.48891,0.49221,0.47854,0.37813,
apple,2008-12-00,UK,1,3.000,1.500,1.500,3.500,3.000,0.000,0.62620,0.51900,0.08156,0.11291,0.08238,0.00160,0.11699,0.24321,0.27327,0.08780,
nokia,2008-12-00,Finland,1,5.000,5.000,5.000,3.000,4.500,0.000,0.72867,0.54383,0.30339,0.38315,0.36164,0.08352,0.46927,0.50258,0.20856,0.20156,
apple,2008-12-00,US,37,4.108,3.649,3.703,3.865,3.770,0.000,0.58506,0.24766,0.21723,0.22805,0.30224,0.02042,0.26426,0.29449,0.23282,0.10341,
ericsson,2008-12-00,Romania,1,3.000,3.000,2.000,2.000,1.500,0.000,0.61128,0.61073,0.12733,0.07399,0.31071,0.02582,0.11395,0.24455,0.35565,0.14474,
nokia,2008-12-00,Canada,1,4.000,4.000,3.000,4.000,2.000,0.000,0.94923,0.63680,0.08841,0.00128,0.29949,0.00086,0.29234,0.39879,0.17368,0.07269,
amazon,2009-01-00,UK,1,4.000,3.500,3.500,2.000,4.500,0.000,0.65429,0.15145,0.18529,0.14228,0.29829,0.00079,0.37502,0.27031,0.03930,0.10091,
nokia,2009-01-00,Canada,1,5.000,5.000,4.000,3.500,4.000,0.000,0.85976,0.41533,0.18899,0.12541,0.22498,0.05961,0.12780,0.44971,0.23777,0.23366,
nokia,2009-01-00,UK,1,5.000,5.000,4.000,4.000,5.000,0.000,0.60320,0.41074,0.44333,0.47803,0.60125,0.04073,0.46345,0.48129,0.14977,0.20822,
ericsson,2009-01-00,US,3,4.000,4.333,3.000,3.500,3.000,0.000,0.65514,0.27932,0.16211,0.18457,0.31948,0.00411,0.21046,0.31229,0.08285,0.11248,
nokia,2009-01-00,India,1,3.000,2.000,4.000,1.500,4.000,0.000,0.87574,0.13328,0.19166,0.14328,0.39688,0.05498,0.42382,0.42187,0.22241,0.18935,
huawei,2009-01-00,UK,1,3.000,4.000,3.000,3.000,3.500,0.000,0.66411,0.63036,0.15267,0.11951,0.12684,0.05444,0.36445,0.31393,0.10408,0.08357,
nokia,2009-01-00,US,4,4.250,4.375,2.875,4.000,3.375,0.000,0.82646,0.39626,0.25581,0.20035,0.43483,0.05002,0.40712,0.35979,0.26176,0.19421,
mcdonalds,2009-01-00,UK,1,4.000,3.000,3.500,3.500,4.500,0.000,0.59691,0.13772,0.38885,0.12658,0.38534,0.11519,0.37071,0.20468,0.42672,0.14579,
apple,2009-01-00,Canada,1,3.000,2.500,3.500,2.500,2.000,0.000,0.62263,0.21093,0.16841,0.14819,0.34450,0.04869,0.16570,0.29506,0.20276,0.07277,
nokia,2009-01-00,Finland,2,4.000,4.000,3.500,2.500,3.750,0.000,0.76882,0.45892,0.22306,0.40768,0.35669,0.04405,0.46074,0.45689,0.23221,0.26900,
apple,2009-01-00,US,24,3.833,3.833,3.438,3.938,3.688,0.000,0.57751,0.22777,0.20077,0.22254,0.24062,0.05368,0.25651,0.30662,0.22170,0.15680,
telefonica,2009-02-00,Spain,1,3.000,5.000,4.000,3.500,4.000,0.000,0.63489,0.34989,0.19256,0.14569,0.28924,0.02557,0.13047,0.34230,0.19002,0.02954,
apple,2009-02-00,US,11,4.000,3.318,3.818,3.545,3.682,0.000,0.55380,0.22404,0.26237,0.32090,0.25555,0.06077,0.32751,0.32272,0.23787,0.16385,
amazon,2009-02-00,UK,1,3.000,1.500,2.500,3.500,5.000,0.000,0.36332,0.30868,0.37456,0.37321,0.44749,0.16431,0.33998,0.34638,0.31735,0.26857,
nokia,2009-02-00,Singapore,1,2.000,3.000,4.000,3.500,3.000,0.000,0.73817,0.68633,0.24977,0.55720,0.37393,0.05586,0.38098,0.44949,0.31557,0.26792,
nokia,2009-02-00,US,5,3.200,4.300,3.300,3.300,2.600,0.000,0.68877,0.52622,0.31382,0.46483,0.41378,0.07982,0.43851,0.45407,0.27879,0.24851,
ericsson,2009-02-00,US,3,3.000,4.167,2.500,3.000,3.000,0.000,0.60909,0.28308,0.16818,0.18753,0.34748,0.02938,0.20067,0.29483,0.17218,0.12023,
ericsson,2009-02-00,Canada,1,4.000,3.500,3.000,4.000,3.000,0.000,0.67432,0.38973,0.10160,0.11460,0.13595,0.00030,0.32093,0.35796,0.07356,0.11472,
nokia,2009-02-00,India,1,4.000,5.000,3.000,3.000,4.000,0.000,0.54849,0.48649,0.43209,0.51697,0.50614,0.10629,0.46202,0.48578,0.35216,0.43301,
nokia,2009-03-00,UK,1,4.000,4.500,1.500,2.500,4.000,0.000,0.89642,0.33583,0.14296,0.00110,0.30285,0.04693,0.63390,0.40320,0.10729,0.17566,
apple,2009-03-00,Canada,1,3.000,4.000,2.000,4.500,4.000,0.000,0.58187,0.09839,0.16442,0.32162,0.24987,0.00034,0.31635,0.25521,0.11400,0.00814,
apple,2009-03-00,US,20,3.650,3.650,3.325,3.600,3.125,0.000,0.58902,0.19638,0.18559,0.19670,0.24129,0.03267,0.28200,0.29202,0.21871,0.16742,
nokia,2009-03-00,Canada,1,4.000,4.500,5.000,5.000,4.000,0.000,0.57845,0.49390,0.49832,0.59505,0.53674,0.07280,0.40522,0.44223,0.39211,0.22861,
nokia,2009-03-00,Finland,1,2.000,2.500,3.500,4.000,2.500,0.000,0.67944,0.34212,0.26846,0.27042,0.60435,0.00352,0.54115,0.45234,0.35619,0.31217,
ericsson,2009-03-00,US,3,1.667,1.500,1.500,3.500,2.667,0.000,0.57249,0.27737,0.20715,0.30401,0.27852,0.03042,0.21775,0.33523,0.06659,0.13702,
nokia,2009-03-00,US,5,3.600,4.200,2.800,3.600,3.300,0.000,0.72346,0.48727,0.28435,0.36746,0.42194,0.05174,0.36435,0.47117,0.20871,0.23800,
nokia,2009-03-00,Singapore,1,3.000,3.000,3.000,4.000,3.000,0.000,0.60743,0.16752,0.25579,0.36298,0.52612,0.00643,0.33584,0.43748,0.09373,0.12834,
nokia,2009-04-00,India,1,3.000,3.000,3.000,3.500,3.000,0.000,0.65805,0.53545,0.40332,0.44704,0.50360,0.00415,0.42071,0.48357,0.18213,0.20668,
nokia,2009-04-00,Denmark,1,4.000,4.000,2.500,3.500,4.500,0.000,0.53771,0.50733,0.53060,0.50061,0.48414,0.15264,0.48243,0.50145,0.45570,0.45296,
amazon,2009-04-00,UK,1,2.000,2.500,1.000,2.000,2.000,0.000,0.52975,0.39524,0.25386,0.17944,0.42267,0.00816,0.25956,0.35097,0.14225,0.16502,
nokia,2009-04-00,UAE,1,4.000,4.500,4.000,3.500,4.000,0.000,0.89218,0.35512,0.18859,0.34266,0.18170,0.01351,0.40467,0.46112,0.19854,0.11720,
nokia,2009-04-00,UK,1,4.000,5.000,3.000,4.000,4.500,0.000,0.58042,0.51390,0.45395,0.54695,0.52738,0.24696,0.44175,0.50031,0.28406,0.34241,
ericsson,2009-04-00,UK,1,3.000,3.500,2.000,3.000,2.500,0.000,0.66005,0.49980,0.18225,0.23004,0.18443,0.00023,0.17180,0.35893,0.10849,0.13777,
nokia,2009-04-00,Canada,2,4.000,4.250,3.250,3.000,3.750,0.000,0.70869,0.47288,0.35677,0.48543,0.43426,0.03636,0.30456,0.40236,0.32521,0.22800,
apple,2009-04-00,Canada,1,5.000,4.000,3.500,3.500,5.000,0.000,0.63660,0.21959,0.36033,0.00305,0.33625,0.01512,0.14439,0.28262,0.07843,0.00272,
nokia,2009-04-00,US,7,4.000,4.357,3.000,3.857,2.786,0.000,0.78453,0.44548,0.26326,0.33449,0.35340,0.06857,0.32163,0.42862,0.19345,0.19782,
apple,2009-04-00,US,17,3.647,3.765,3.088,3.647,3.382,0.000,0.57063,0.23718,0.16131,0.18726,0.26729,0.02419,0.22058,0.29588,0.19366,0.18724,
ericsson,2009-04-00,US,2,3.000,3.750,2.750,3.750,2.500,0.000,0.54567,0.27854,0.28934,0.21138,0.29535,0.04042,0.23001,0.32313,0.19271,0.11159,
nokia,2009-05-00,US,3,3.667,4.167,3.000,4.500,3.000,0.000,0.68566,0.48800,0.34163,0.32743,0.45156,0.03361,0.38069,0.39148,0.31914,0.21450,
nokia,2009-05-00,UK,1,4.000,4.500,2.000,2.000,3.000,0.000,0.84061,0.38159,0.21718,0.36532,0.16971,0.00010,0.29214,0.45616,0.06746,0.30813,
nokia,2009-05-00,India,2,3.000,3.000,3.500,3.000,3.000,0.000,0.70721,0.37147,0.29426,0.62196,0.38009,0.07561,0.46675,0.51719,0.26945,0.17434,
apple,2009-05-00,US,9,3.889,3.611,3.778,4.222,4.611,0.000,0.59122,0.17590,0.24761,0.27308,0.32757,0.02404,0.31062,0.29350,0.19006,0.09298,
ericsson,2009-06-00,US,1,4.000,4.000,3.500,3.000,3.000,0.000,0.47882,0.31175,0.22573,0.42386,0.45560,0.01812,0.25775,0.28724,0.22816,0.06897,
apple,2009-06-00,US,9,3.778,3.444,3.333,3.444,3.444,0.000,0.51313,0.30469,0.23831,0.28449,0.36013,0.04896,0.23647,0.28905,0.26131,0.16455,
nokia,2009-06-00,US,1,3.000,2.000,3.500,3.000,4.000,0.000,0.74497,0.62057,0.34606,0.36378,0.39757,0.07097,0.30406,0.41595,0.38178,0.26273,
ericsson,2009-07-00,Sweden,1,3.000,3.500,2.500,3.000,1.500,0.000,0.66935,0.15893,0.13121,0.11573,0.26658,0.02387,0.21480,0.32448,0.21733,0.26382,
apple,2009-07-00,US,3,4.000,4.333,3.000,3.167,3.667,0.000,0.63289,0.12122,0.12784,0.16044,0.35761,0.00873,0.13018,0.31547,0.10184,0.17934,
nokia,2009-07-00,India,1,1.000,1.500,1.000,3.000,1.500,0.000,0.70522,0.70920,0.35045,0.36515,0.35199,0.07371,0.34265,0.43425,0.22596,0.41886,
nokia,2009-07-00,China,1,3.000,4.000,3.500,3.000,3.000,0.000,0.92077,0.66313,0.13550,0.57378,0.28590,0.02312,0.08974,0.34138,0.31155,0.31394,
huawei,2009-07-00,UK,1,2.000,1.000,2.000,2.000,1.000,0.000,0.64487,0.08009,0.11153,0.32327,0.08783,0.00344,0.42217,0.37850,0.24952,0.25036,
nokia,2009-07-00,US,1,4.000,5.000,4.000,3.500,4.500,0.000,0.86257,0.61480,0.16618,0.13198,0.35818,0.02475,0.17133,0.46804,0.16622,0.14968,
ericsson,2009-08-00,US,2,3.500,4.250,3.500,4.250,3.500,0.000,0.64400,0.26412,0.21448,0.18104,0.26133,0.00747,0.47538,0.31073,0.09632,0.07896,
apple,2009-08-00,Canada,1,4.000,2.000,4.000,5.000,5.000,0.000,0.34807,0.24855,0.33134,0.40371,0.39030,0.18450,0.35676,0.35986,0.32157,0.15918,
apple,2009-08-00,US,17,3.353,3.294,3.000,3.676,3.118,0.000,0.56170,0.27737,0.21904,0.27137,0.28997,0.04892,0.27319,0.30008,0.21914,0.20631,
nokia,2009-08-00,UK,1,4.000,4.500,2.500,4.500,4.000,0.000,0.58426,0.36406,0.37519,0.55826,0.57878,0.10294,0.34701,0.42329,0.07716,0.26395,
nokia,2009-08-00,Finland,1,3.000,3.000,3.000,3.000,3.000,0.000,0.89246,0.39591,0.13783,0.09511,0.37418,0.00020,0.31111,0.47362,0.06979,0.14586,
nokia,2009-08-00,India,1,2.000,4.500,2.500,2.000,2.000,0.000,0.86651,0.46716,0.24370,0.10749,0.22290,0.10217,0.40047,0.36675,0.35336,0.19174,
nokia,2009-09-00,Finland,1,3.000,3.000,4.000,3.000,3.000,0.000,0.79784,0.72905,0.30814,0.34638,0.37389,0.10695,0.23412,0.44350,0.42923,0.33860,
nokia,2009-09-00,US,1,2.000,3.500,2.000,3.000,1.000,0.000,0.76161,0.47436,0.19457,0.20602,0.56779,0.07311,0.22030,0.44452,0.20399,0.37641,
ericsson,2009-09-00,US,1,4.000,3.500,3.500,5.000,3.000,0.000,0.58915,0.10957,0.18243,0.47955,0.47500,0.00861,0.49433,0.30057,0.26308,0.05943,
apple,2009-09-00,US,14,3.571,3.429,3.321,3.786,3.893,0.000,0.59659,0.22909,0.20072,0.21881,0.28218,0.04110,0.21134,0.29073,0.24232,0.13788,
starbucks,2009-09-00,UK,1,3.000,4.000,3.500,3.500,2.500,0.000,0.58999,0.37485,0.16897,0.10641,0.14491,0.07187,0.12665,0.23656,0.38086,0.39895,
nokia,2009-09-00,Italy,1,2.000,5.000,1.000,2.500,4.000,0.000,0.80753,0.22631,0.36336,0.45266,0.20948,0.06924,0.22031,0.52267,0.12112,0.51120,
nokia,2009-10-00,US,2,3.000,3.000,2.750,3.000,3.000,0.000,0.81828,0.52906,0.21918,0.37885,0.39100,0.10563,0.21332,0.42758,0.28306,0.15367,
mcdonalds,2009-10-00,UK,1,1.000,1.000,1.000,1.000,1.000,0.000,0.34586,0.19607,0.29040,0.14888,0.23466,0.10037,0.20733,0.31031,0.28561,0.41016,
apple,2009-10-00,US,8,4.000,4.438,3.125,3.688,3.938,0.000,0.57014,0.34639,0.21581,0.25667,0.28978,0.06255,0.24335,0.30848,0.27587,0.18498,
apple,2009-11-00,US,6,4.000,3.500,3.167,3.917,4.333,0.000,0.61804,0.28271,0.26678,0.19295,0.36641,0.04800,0.21592,0.30625,0.26163,0.08488,
nokia,2009-11-00,India,1,2.000,4.000,3.000,2.000,1.500,0.000,0.87215,0.59721,0.16461,0.10403,0.43275,0.00794,0.11656,0.40981,0.15753,0.17035,
nokia,2009-11-00,US,2,2.500,4.750,2.750,4.000,1.500,0.000,0.83591,0.63729,0.18042,0.26899,0.43006,0.03409,0.17854,0.40971,0.14938,0.23878,
nokia,2009-11-00,Finland,1,2.000,3.000,3.000,1.000,3.500,0.000,0.77207,0.28097,0.19209,0.23294,0.46148,0.03196,0.43266,0.41337,0.21357,0.25485,
